lambda;error;tsolve;nsosc;nsslo;nstot;nf;nls;nlu;nsub;solver
1e1;1.53e-11;3.32e-2;(22,0);(22,22);(44,22);10232;45;1;22;Riccati
1e2;4.31e-13;3.19e-3;(2,2);(0,0);(2,2);732;1;1;2;Riccati
1e3;2.5e-12;2.34e-3;(2,2);(0,0);(2,2);732;1;1;2;Riccati
1e4;2.72e-11;2.23e-3;(2,2);(0,0);(2,2);732;1;1;2;Riccati
1e5;1.93e-10;2.14e-3;(2,2);(0,0);(2,2);732;1;1;2;Riccati
1e6;2.63e-9;2.14e-3;(2,2);(0,0);(2,2);732;1;1;2;Riccati
1e7;8.45e-9;2.08e-3;(2,2);(0,0);(2,2);732;1;1;2;Riccati
1e1;1.38e-12;5.81e-1;0;2717;2717;89936;;;;oscode
1e2;1.36e-11;5.08e0;0;27269;27269;904992;;;;oscode
1e3;1.05e-10;5.25e1;10;236128;236138;7817634;;;;oscode
1e4;1.84e-11;2.53e-2;121;0;121;3894;;;;oscode
1e5;4.4e-11;3.80e-2;197;0;197;6116;;;;oscode
1e6;1.28e-9;9.77e-2;462;0;462;15950;;;;oscode
1e7;1.24e-9;1.06e-1;450;0;450;17292;;;;oscode
1e1;1.95e-11;4.25e-1;;;1655;18293;;;;arnold
1e2;2.77e-10;5.13e0;;;16181;179861;;;;arnold
1e3;7.93e-13;2.38e0;;;4735;85338;;;;arnold
1e4;1.15e-8;8.06e-4;;;4;33;;;;arnold
1e5;4.35e-8;7.29e-4;;;4;33;;;;arnold
1e6;1.14e-6;8.23e-4;;;4;33;;;;arnold
1e7;3.99e-6;8.27e-4;;;4;33;;;;arnold
1e1;1.86e-12;2.15e-2;;;;1658;;;;rk78
1e2;1.26e-11;1.89e-1;;;;14438;;;;rk78
1e3;1.05e-10;1.83e0;;;;144026;;;;rk78
1e4;1.78e-09;1.84e1;;;;1440074;;;;rk78
1e5;7.31e-09;2.09e2;;;;14400578;;;;rk78
1e6;1.56e-07;1.97e3;;;;144005582;;;;rk78
